channel,id,url,timespan,text,image,likes,comments,shares
NBCNews,4225478164138848,https://m.facebook.com/story.php?story_fbid=4225478164138848&id=155869377766434,23.74944444444445,"After months of norovirus outbreaks at sea, the source is found. It was a smoothie.",1.0,80.0,45.0,121
NBCNews,4225147087505289,https://m.facebook.com/story.php?story_fbid=4225147087505289&id=155869377766434,2.0175,'It's irresponsible and it's dangerous': Experts rip Trump's idea of injecting disinfectant to treat COVID-19,1.0,151.0,414.0,383
NBCNews,4225007897519208,https://m.facebook.com/story.php?story_fbid=4225007897519208&id=155869377766434,3.265833333333333,U.S. military declares public health emergency at African base,1.0,31.0,6.0,30
NBCNews,4224903547529643,https://m.facebook.com/story.php?story_fbid=4224903547529643&id=155869377766434,4.184166666666667,"Facing furor, Ruth’s Chris high-end steak chain returns $20 million small business loan",1.0,395.0,66.0,81
NBCNews,4224736530879678,https://m.facebook.com/story.php?story_fbid=4224736530879678&id=155869377766434,5.734444444444446,Tom Brady enters a stranger's house in latest Tampa misstep,1.0,30.0,39.0,16
NBCNews,4224619934224671,https://m.facebook.com/story.php?story_fbid=4224619934224671&id=155869377766434,6.7333333333333325,"After months of norovirus outbreaks at sea, the source is found. It was a smoothie.",1.0,42.0,29.0,68
NBCNews,4224465970906734,https://m.facebook.com/story.php?story_fbid=4224465970906734&id=155869377766434,7.908333333333332,U.S. military declares public health emergency at African base,1.0,379.0,74.0,449
NBCNews,4224026967617301,https://m.facebook.com/story.php?story_fbid=4224026967617301&id=155869377766434,10.761388888888886,Opinion | Reopening Georgia's businesses shows how little Kemp cares about mothers,1.0,258.0,189.0,104
NBCNews,4223904517629546,https://m.facebook.com/story.php?story_fbid=4223904517629546&id=155869377766434,11.433055555555557,Trump suggests injecting disinfectant into the body to treat coronavirus,1.0,769.0,3296.0,516
NBCNews,4223668997653098,https://m.facebook.com/story.php?story_fbid=4223668997653098&id=155869377766434,12.929166666666667,"L.A. street vendors, banned from selling amid coronavirus, get lifeline from community group",1.0,94.0,10.0,23
NBCNews,4223663307653667,https://m.facebook.com/story.php?story_fbid=4223663307653667&id=155869377766434,12.965833333333334,"23 April at 19:15 ·
There are more than 70 coronavirus vaccines in development, but only a few are being tested in humans, NBC's Kelly Cobiella reports scientists at Oxford might be making major headway.
Valerie Castro has more on Quibi by subscribing at the link. link.quibi.com/Y2548J9yj",0.0,48.0,11.0,5
NBCNews,4223429424343722,https://m.facebook.com/story.php?story_fbid=4223429424343722&id=155869377766434,14.521944444444443,House gives final passage to $484 billion coronavirus relief bill,1.0,245.0,48.0,102
NBCNews,4223327761020555,https://m.facebook.com/story.php?story_fbid=4223327761020555&id=155869377766434,15.184722222222224,"Facing furor, Ruth’s Chris high-end steak chain returns $20 million small business loan",1.0,4008.0,376.0,1269
NBCNews,4222686731084658,https://m.facebook.com/story.php?story_fbid=4222686731084658&id=155869377766434,19.3675,Netflix doc 'Circus of Books' shines a light on LGBTQ and American history,1.0,54.0,18.0,13
NBCNews,4222574921095839,https://m.facebook.com/story.php?story_fbid=4222574921095839&id=155869377766434,20.149722222222227,"Stepfather fatally shot teen during quarantine fight in Atlanta home, police say",1.0,81.0,88.0,91
NBCNews,4222363387783659,https://m.facebook.com/story.php?story_fbid=4222363387783659&id=155869377766434,21.406111111111112,"'This is a good day,' NYC mayor says of decline in hospitalizations and ICU patients",1.0,1579.0,77.0,428
NBCNews,4221942477825750,https://m.facebook.com/story.php?story_fbid=4221942477825750&id=155869377766434,0.03222222222222222,Trump asks CDC director to explain how he was 'misquoted.' He says quote is accurate.,1.0,219.0,113.0,152
NBCNews,4221904034496261,https://m.facebook.com/story.php?story_fbid=4221904034496261&id=155869377766434,0.3002777777777777,City with China's largest current outbreak tightens lockdown,1.0,28.0,14.0,35
NBCNews,4221776781175653,https://m.facebook.com/story.php?story_fbid=4221776781175653&id=155869377766434,1.1825,Prince William and Kate Middleton release pictures of Prince Louis for his birthday,1.0,851.0,48.0,35
NBCNews,4221667157853282,https://m.facebook.com/story.php?story_fbid=4221667157853282&id=155869377766434,2.000555555555556,Trump asks CDC director to explain how he was 'misquoted.' He says quote is accurate.,1.0,139.0,79.0,99
NBCNews,4221152607904737,https://m.facebook.com/story.php?story_fbid=4221152607904737&id=155869377766434,6.583055555555554,Las Vegas workers push back after mayor’s call to reopen casinos and hotels,1.0,283.0,63.0,104
NBCNews,4220919487928049,https://m.facebook.com/story.php?story_fbid=4220919487928049&id=155869377766434,8.698888888888888,'A race against time': Results expected soon on experimental coronavirus drug,1.0,262.0,34.0,138
NBCNews,4220746484612016,https://m.facebook.com/story.php?story_fbid=4220746484612016&id=155869377766434,10.183055555555557,What's the right streaming device for your favorite movies and shows?,1.0,25.0,8.0,8
NBCNews,4220630811290250,https://m.facebook.com/story.php?story_fbid=4220630811290250&id=155869377766434,11.133611111111113,NJ reverses move to offer COVID-19 tests to people with no symptoms,1.0,81.0,11.0,17
NBCNews,4220612321292099,https://m.facebook.com/story.php?story_fbid=4220612321292099&id=155869377766434,11.2725,From Catholicism to comedy: Cameron Esposito charts journey in memoir,1.0,26.0,3.0,3
NBCNews,4220562821297049,https://m.facebook.com/story.php?story_fbid=4220562821297049&id=155869377766434,11.600277777777777,Colorado renters in limbo over lost wages,1.0,24.0,11.0,7
NBCNews,4220490214637643,https://m.facebook.com/story.php?story_fbid=4220490214637643&id=155869377766434,12.105277777777774,Fire officials warn against microwaving masks to sterilize them,1.0,42.0,22.0,42
NBCNews,4220457951307536,https://m.facebook.com/story.php?story_fbid=4220457951307536&id=155869377766434,12.358055555555556,Vaccine agency director says he was removed for questioning hydroxychloroquine,1.0,301.0,234.0,633
NBCNews,4220451007974897,https://m.facebook.com/story.php?story_fbid=4220451007974897&id=155869377766434,12.415277777777776,Red Sox stripped of draft pick over 2018 sign-stealing scandal,1.0,77.0,21.0,19
NBCNews,4220448614641803,https://m.facebook.com/story.php?story_fbid=4220448614641803&id=155869377766434,12.433055555555557,"In a tiny explosion of birth, coral scientists see hope for endangered reefs",1.0,200.0,2.0,41
NBCNews,4220427307977267,https://m.facebook.com/story.php?story_fbid=4220427307977267&id=155869377766434,12.615277777777774,U.N. warns 'hunger pandemic' looming amid fight against coronavirus,1.0,60.0,33.0,109
NBCNews,4220318321321499,https://m.facebook.com/story.php?story_fbid=4220318321321499&id=155869377766434,13.448055555555555,Opinion | Why did big corporations get PPP loans instead of small businesses like mine?,1.0,187.0,51.0,63
NBCNews,4220262097993788,https://m.facebook.com/story.php?story_fbid=4220262097993788&id=155869377766434,13.866666666666667,Ohio man who disparaged lockdown measures on Facebook dies of coronavirus,1.0,625.0,344.0,1038
NBCNews,4220222214664443,https://m.facebook.com/story.php?story_fbid=4220222214664443&id=155869377766434,14.204722222222221,"Got coronavirus? You may get a surprise medical bill, too",1.0,48.0,25.0,45
NBCNews,4220197584666906,https://m.facebook.com/story.php?story_fbid=4220197584666906&id=155869377766434,14.433333333333335,"McConnell taps brakes on next round of coronavirus aid as state, local governments plead for help",1.0,149.0,156.0,278
NBCNews,4220157831337548,https://m.facebook.com/story.php?story_fbid=4220157831337548&id=155869377766434,14.750833333333333,Child sex trafficking survivor supported by Kim Kardashian freed from jail,1.0,533.0,23.0,74
